test name, construction, rendering, total
shapes/sphere, 0.0104346, 0.2010768, 0.2115114
shapes/reflectiveSpheres, 0.0121132, 0.2163594, 0.2284726
shapes/hollowCylinder, 0.0148761, 0.2240614, 0.2389375
shapes/solidCylinder, 0.003408, 0.2189805, 0.2223885
shapes/insideSphere, 0.00203, 0.2072971, 0.2093271
affineTransformationsSimple/originBase, 0.007327, 0.3060998, 0.3134268
affineTransformationsSimple/positiveBase, 0.0014207, 0.280284, 0.2817047
affineTransformationsSimple/rotateX_90, 0.0014419, 0.271152, 0.2725939
affineTransformationsSimple/rotateX_180, 0.0012101, 0.2969582, 0.2981683
affineTransformationsSimple/rotateX_270, 0.0007285, 0.2832986, 0.2840271
affineTransformationsSimple/rotateY_90, 0.0024023, 0.2757312, 0.2781335
affineTransformationsSimple/rotateY_180, 0.0008155, 0.2654281, 0.2662436
affineTransformationsSimple/rotateY_270, 0.0009899, 0.2816611, 0.282651
affineTransformationsSimple/rotateZ_90, 0.0021261, 0.3001358, 0.3022619
affineTransformationsSimple/rotateZ_180, 0.0023725, 0.2839924, 0.2863649
affineTransformationsSimple/rotateZ_270, 0.0017858, 0.2912567, 0.2930425
affineTransformationsSimple/mirrorX, 0.0038137, 0.2891117, 0.2929254
affineTransformationsSimple/mirrorY, 0.0017181, 0.2918155, 0.2935336
affineTransformationsSimple/mirrorZ, 0.0017659, 0.2877596, 0.2895255
affineTransformationsSimple/scaleX, 0.0018988, 0.2812099, 0.2831087
affineTransformationsSimple/scaleY, 0.0015755, 0.2727735, 0.274349
affineTransformationsSimple/scaleZ, 0.0017357, 0.2705906, 0.2723263
affineTransformationsSimple/sheareXY, 0.00362, 0.2501335, 0.2537535
affineTransformationsSimple/sheareXZ, 0.0023866, 0.2647523, 0.2671389
affineTransformationsSimple/sheareYX, 0.0020171, 0.262094, 0.2641111
affineTransformationsSimple/sheareYZ, 0.0018923, 0.2621644, 0.2640567
affineTransformationsSimple/sheareZX, 0.0032811, 0.2688998, 0.2721809
affineTransformationsSimple/sheareZY, 0.0014786, 0.2645838, 0.2660624
affineTransformationsSimple/translateX, 0.0015985, 0.2672273, 0.2688258
affineTransformationsSimple/translateY, 0.0016864, 0.267482, 0.2691684
affineTransformationsSimple/translateZ, 0.0019022, 0.280786, 0.2826882
affineTransformationsCSG/originBase, 0.0044355, 0.6283647, 0.6328002
affineTransformationsCSG/positiveBase, 0.0016364, 0.6508828, 0.6525192
affineTransformationsCSG/rotateX_90, 0.0014842, 0.6291905, 0.6306747
affineTransformationsCSG/rotateX_180, 0.0013555, 0.6310856, 0.6324411
affineTransformationsCSG/rotateX_270, 0.0019012, 0.6667933, 0.6686945
affineTransformationsCSG/rotateY_90, 0.0018615, 0.6738476, 0.6757091
affineTransformationsCSG/rotateY_180, 0.0014723, 0.659985, 0.6614573
affineTransformationsCSG/rotateY_270, 0.0018403, 0.7003556, 0.7021959
affineTransformationsCSG/rotateZ_90, 0.0015809, 0.6578287, 0.6594096
affineTransformationsCSG/rotateZ_180, 0.0015945, 0.6746022, 0.6761967
affineTransformationsCSG/rotateZ_270, 0.0014205, 0.6885558, 0.6899763
affineTransformationsCSG/mirrorX, 0.0014319, 0.6566146, 0.6580465
affineTransformationsCSG/mirrorY, 0.0013895, 0.6862276, 0.6876171
affineTransformationsCSG/mirrorZ, 0.0018883, 0.7113089, 0.7131972
affineTransformationsCSG/scaleX, 0.0014582, 0.7456161, 0.7470743
affineTransformationsCSG/scaleY, 0.001518, 0.718992, 0.72051
affineTransformationsCSG/scaleZ, 0.0015224, 0.6932088, 0.6947312
affineTransformationsCSG/sheareXY, 0.0014357, 0.6556962, 0.6571319
affineTransformationsCSG/sheareXZ, 0.001583, 0.6374442, 0.6390272
affineTransformationsCSG/sheareYX, 0.001369, 0.6131007, 0.6144697
affineTransformationsCSG/sheareYZ, 0.0015577, 0.6181477, 0.6197054
affineTransformationsCSG/sheareZX, 0.0014516, 0.6096534, 0.611105
affineTransformationsCSG/sheareZY, 0.0015016, 0.589998, 0.5914996
affineTransformationsCSG/translateX, 0.0014325, 0.6065584, 0.6079909
affineTransformationsCSG/translateY, 0.0014596, 0.6822212, 0.6836808
affineTransformationsCSG/translateZ, 0.0021706, 0.6764162, 0.6785868
implicitSurfaces/heart, 0.1657077, 4.4703798, 4.6360875
implicitSurfaces/sphere1, 0.0069116, 0.2175656, 0.2244772
