test name, construction, rendering, total
shapes/sphere, 0.0511679, 0.1506812, 0.2018491
shapes/reflectiveSpheres, 0.0008298, 0.1918895, 0.1927193
shapes/hollowCylinder, 0.001268, 0.1553889, 0.1566569
shapes/solidCylinder, 0.0055295, 0.1676543, 0.1731838
shapes/insideSphere, 0.0012172, 0.2538076, 0.2550248
affineTransformationsSimple/originBase, 0.0029454, 0.2266457, 0.2295911
affineTransformationsSimple/positiveBase, 0.0002699, 0.2192199, 0.2194898
affineTransformationsSimple/rotateX_90, 0.0001606, 0.2190601, 0.2192207
affineTransformationsSimple/rotateX_180, 4.9E-05, 0.2093801, 0.2094291
affineTransformationsSimple/rotateX_270, 5.1E-05, 0.2185872, 0.2186382
affineTransformationsSimple/rotateY_90, 0.0009029, 0.2391043, 0.2400072
affineTransformationsSimple/rotateY_180, 5.69E-05, 0.228155, 0.2282119
affineTransformationsSimple/rotateY_270, 4.9E-05, 0.2153936, 0.2154426
affineTransformationsSimple/rotateZ_90, 0.0002104, 0.2169237, 0.2171341
affineTransformationsSimple/rotateZ_180, 5.15E-05, 0.2160361, 0.2160876
affineTransformationsSimple/rotateZ_270, 4.51E-05, 0.2241537, 0.2241988
affineTransformationsSimple/mirrorX, 0.0008731, 0.2263617, 0.2272348
affineTransformationsSimple/mirrorY, 0.0001824, 0.2132495, 0.2134319
affineTransformationsSimple/mirrorZ, 0.0001898, 0.2175985, 0.2177883
affineTransformationsSimple/scaleX, 0.000604, 0.2410991, 0.2417031
affineTransformationsSimple/scaleY, 0.0001675, 0.2258434, 0.2260109
affineTransformationsSimple/scaleZ, 0.0002201, 0.2266642, 0.2268843
affineTransformationsSimple/sheareXY, 0.0005927, 0.1968258, 0.1974185
affineTransformationsSimple/sheareXZ, 0.0005788, 0.202038, 0.2026168
affineTransformationsSimple/sheareYX, 0.0007959, 0.1996162, 0.2004121
affineTransformationsSimple/sheareYZ, 0.0005734, 0.2024067, 0.2029801
affineTransformationsSimple/sheareZX, 0.0005503, 0.2017904, 0.2023407
affineTransformationsSimple/sheareZY, 0.000586, 0.2068116, 0.2073976
affineTransformationsSimple/translateX, 0.0002227, 0.210797, 0.2110197
affineTransformationsSimple/translateY, 0.0001747, 0.2060737, 0.2062484
affineTransformationsSimple/translateZ, 0.0001714, 0.2103072, 0.2104786
affineTransformationsCSG/originBase, 0.0025197, 0.4593943, 0.461914
affineTransformationsCSG/positiveBase, 0.0001093, 0.4523518, 0.4524611
affineTransformationsCSG/rotateX_90, 7.54E-05, 0.4148364, 0.4149118
affineTransformationsCSG/rotateX_180, 7.44E-05, 0.4139291, 0.4140035
affineTransformationsCSG/rotateX_270, 8.13E-05, 0.4247692, 0.4248505
affineTransformationsCSG/rotateY_90, 0.0001141, 0.4092384, 0.4093525
affineTransformationsCSG/rotateY_180, 0.0001152, 0.425268, 0.4253832
affineTransformationsCSG/rotateY_270, 8.1E-05, 0.4504264, 0.4505074
affineTransformationsCSG/rotateZ_90, 7.72E-05, 0.4297027, 0.4297799
affineTransformationsCSG/rotateZ_180, 7.82E-05, 0.4430119, 0.4430901
affineTransformationsCSG/rotateZ_270, 0.0001116, 0.4593294, 0.459441
affineTransformationsCSG/mirrorX, 7.03E-05, 0.4382426, 0.4383129
affineTransformationsCSG/mirrorY, 7.33E-05, 0.4358103, 0.4358836
affineTransformationsCSG/mirrorZ, 0.0001157, 0.423031, 0.4231467
affineTransformationsCSG/scaleX, 7.38E-05, 0.4558038, 0.4558776
affineTransformationsCSG/scaleY, 9.59E-05, 0.4704211, 0.470517
affineTransformationsCSG/scaleZ, 7.28E-05, 0.5049811, 0.5050539
affineTransformationsCSG/sheareXY, 0.0001123, 0.3991843, 0.3992966
affineTransformationsCSG/sheareXZ, 7.44E-05, 0.4208638, 0.4209382
affineTransformationsCSG/sheareYX, 0.0001087, 0.4006353, 0.400744
affineTransformationsCSG/sheareYZ, 7.26E-05, 0.3752019, 0.3752745
affineTransformationsCSG/sheareZX, 8.08E-05, 0.3822415, 0.3823223
affineTransformationsCSG/sheareZY, 7.08E-05, 0.4206385, 0.4207093
affineTransformationsCSG/translateX, 7.23E-05, 0.4053207, 0.405393
affineTransformationsCSG/translateY, 7.36E-05, 0.4422069, 0.4422805
affineTransformationsCSG/translateZ, 7.69E-05, 0.443104, 0.4431809
implicitSurfaces/heart, 0.0739515, 72.9691873, 73.0431388
implicitSurfaces/sphere1, 0.0007556, 1.4418826, 1.4426382
implicitSurfaces/sphere2, 0.0056198, 1.2749965, 1.2806163
implicitSurfaces/planeX, 0.0005278, 0.8119999, 0.8125277
implicitSurfaces/planeY, 0.0004839, 0.9288124, 0.9292963
implicitSurfaces/planeZ, 0.0006058, 1.2739709, 1.2745767
implicitSurfaces/torus, 0.0051344, 19.6215865, 19.6267209
implicitSurfaces/torus2, 0.0155628, 9.4530369, 9.4685997
implicitSurfaces/testShape, 0.0040536, 21.0346143, 21.0386679
implicitSurfaces/chmutov2, 0.0018307, 1.4510358, 1.4528665
implicitSurfaces/chmutov3, 0.0007107, 18.1570634, 18.1577741
implicitSurfaces/chmutov4, 0.001929, 10.7721451, 10.7740741
implicitSurfaces/chmutov5, 0.004458, 57.3981956, 57.4026536
implicitSurfaces/chmutov6, 0.0079992, 25.9613981, 25.9693973
meshes/icosahedron, 0.1242675, 1.0852883, 1.2095558
meshes/urn, 0.0360879, 4.5480129, 4.5841008
meshes/bunny, 4.6008805, 6.8009238, 11.4018043
meshes/inside bunny, 4.4927205, 12.3918429, 16.8845634
meshes/bunnies small, 4.4870586, 29.3605766, 33.8476352
meshes/bunnies big, 4.510048, 47.8565541, 52.3666021
meshes/dragon, 79.447083, 12.5058337, 91.9529167
meshes/happy, 103.6714189, 7.4849953, 111.1564142
meshes/porsche, 0.840231, 8.8333397, 9.6735707
meshes/horse, 8.2576947, 10.0567649, 18.3144596
meshes/head, 84.8728072, 56.972182, 141.8449892
meshes/vase, 40.5289989, 11.8753033, 52.4043022
meshes/armadillo, 30.4090416, 15.4532522, 45.8622938
texture/discs, 0.0019975, 0.6861491, 0.6881466
texture/box, 0.2563443, 0.8050873, 1.0614316
texture/boxes, 0.0013858, 1.6819766, 1.6833624
texture/bunny, 5.372336, 15.5904972, 20.9628332
texture/cylinder, 0.0016039, 0.6266258, 0.6282297
texture/earth, 0.1838404, 1.3677409, 1.5515813
